"spp"	"ID"	"palindrome"	"obs"	"markov2"	"genomesize"	"A"	"Th"	"C"	"G"	"N"	"pval"	"fdrs"	"frecObs"	"OE"	"GC"
Calothrix_brevissima_NIES-22_NIES-22	GCF_002367995.1	ATAT	56221	46662.196875451	9257480	2744334	2761229	1874422	1875617	1878	0	0	6.07303499440452	1.20485111642007	0.405164245394303
Calothrix_sp_NIES-2098_NIES-2098	GCF_002368175.1	ATAT	49155	41791.2705522421	8878628	2607797	2614225	1829739	1826867	0	1.67408417809635e-270	3.43107538215556e-268	5.53632836064311	1.17620257413693	0.411843586644243
Calothrix_sp_NIES-2100_NIES-2100	GCF_002368195.1	ATAT	55069	46392.4907951149	9963103	2917620	2911681	2062817	2063640	7345	0	0	5.52729405688168	1.18702400013837	0.414479439938174
Calothrix_sp_NIES-4071_NIES-4071	GCF_002368455.1	GCGC	50477	39793.7300012064	12049274	3668719	3681220	2347242	2352093	0	0	0	4.18921505146285	1.26846616284701	0.390009804740103
Calothrix_sp_NIES-4105_NIES-4105	GCF_002368415.1	GCGC	50442	39751.4216235159	12037678	3660884	3680233	2342629	2350324	3608	0	0	4.19034302130361	1.26893574971316	0.389972220537191
Calothrix_sp_PCC_6303_PCC_6303	GCF_000317435.1	ATAT	45019	37856.3350643977	6960392	2095340	2095034	1387516	1382502	0	1.44510487868802e-281	3.4554063321518e-279	6.46788284338009	1.18920650727065	0.397968677626203
Calothrix_sp_PCC_7716_PCC_7716	GCF_019977735.1	GCGC	46485	35794.5566755089	12367066	3817922	3794023	2374478	2380643	0	0	0	3.75877350375586	1.29866114620175	0.384498716187008
Cyanobium_gracile_PCC_6307_PCC_6307	GCF_000316515.1	TCGA	19274	13643.3599519621	3342364	527179	518741	1150343	1146101	0	0	0	5.76657718907935	1.41270186140827	0.687071785119754
Cyanobium_sp_M30B3	GCF_018399015.1	TCGA	14730	10807.7580959553	3180296	514717	510459	1081483	1073637	0	5.53927710821449e-281	1.2547920354608e-278	4.63164435008565	1.3629098532019	0.677647615190536
Cyanobium_sp_NIES-981_NIES-981	GCF_900088535.1	TCGA	14822	10351.300300906	3021545	482925	465347	1040867	1032406	0	0	0	4.90543745004625	1.43189740120888	0.686163204585733
Cyanobium_sp_NS01_NS01	GCF_014280235.1	TCGA	13502	9898.2628695714	2748087	439261	442008	938354	928464	0	3.66028727753123e-259	6.56411518437268e-257	4.91323600744809	1.36407773544861	0.679315465631183
Gloeobacter_kilaueensis_JS1_JS1	GCF_000484535.1	TCGA	38149	30978.779762169	4724791	931715	932838	1431757	1428481	0	0	0	8.07421957923641	1.23145586407465	0.605368152792367
Gloeobacter_morelensis_MG652769	GCF_021018745.1	TCGA	39874	30134.5677447907	5102396	978934	972776	1575267	1575419	0	0	0	7.81475996767009	1.32319800760683	0.617491468713914
Gloeobacter_violaceus_PCC_7421_PCC_7421	GCF_000011385.1	TCGA	36930	28038.5862647752	4659019	887941	882586	1444547	1443945	0	0	0	7.92656136409832	1.31711348251517	0.619978583474332
Nostoc_sp_UHCC_0870_UHCC_0870	GCF_022063185.1	ATAT	40907	34260.1234365796	7172241	2112980	2120238	1465535	1473488	0	1.75862771239653e-267	3.44051530643395e-265	5.70351721309978	1.19401204364382	0.409777501899337
Oxynema_aestuarii_AP17_AP17	GCF_012295525.1	GATC	63898	53294.4581020655	6357750	1537227	1549300	1634511	1636712	0	0	0	10.0504109158114	1.198961435683	0.514525264441037
Pseudanabaena_sp_PCC_7367_PCC_7367	GCF_000317065.1	GATC	53544	38956.3944065816	4885680	1314560	1312767	1130783	1127570	0	0	0	10.9593751535098	1.37445984967628	0.462239237936173
Synechococcus_sp_CBW1004_CBW1004	GCF_015840715.1	TCGA	21189	16477.7306497332	3672318	595492	614278	1224725	1237823	0	5.4147146132741e-272	1.16524658477659e-269	5.76992515354062	1.28591736631786	0.670570468025917
Synechococcus_sp_CBW1107_CBW1107	GCF_015841355.1	TCGA	18976	13725.0233203872	3202093	537927	542299	1061651	1060216	0	0	0	5.92612394455751	1.38258417177427	0.662650022969352
Tolypothrix_sp_PCC_7910_PCC_7910	GCF_011769525.1	ATAT	51692	43238.0355194318	8761534	2602021	2603489	1777600	1778424	0	0	0	5.89988008949118	1.19552147499321	0.405867739599025
Tolypothrix_tenuis_PCC_7101_NIES-37	GCF_002368295.1	ATAT	54988	45750.3064208191	9352233	2772345	2771333	1902312	1905441	802	0	0	5.87966531629398	1.20191544717124	0.407183991412651
